game_id,date,home_team,away_team,league,home_Possession_value,away_Possession_value,home_Passing Accuracy_value,home_Passing Accuracy_attempts,away_Passing Accuracy_value,away_Passing Accuracy_attempts,home_Shots on Target_value,home_Shots on Target_attempts,away_Shots on Target_value,away_Shots on Target_attempts,home_Saves_value,home_Saves_attempts,away_Saves_value,away_Saves_attempts,home_goals,away_goals,home_xg,away_xg,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Bahia-Red-Bull-Bragantino-May-12-2024-Serie-A,2024-05-12,Bahia,Red Bull Bragantino,Campeonato Brasileiro Série A,49%,51%,339,437,340,446,3,8,5,15,5,5,2,3,1,0,0.8,0.5,12,15,6,7,14,18,552,554,17,23,14,10,19,11,27,11,4,3,9,1,21,24,68,67
Vasco-da-Gama-Vitoria-May-12-2024-Serie-A,2024-05-12,Vasco da Gama,Vitória,Campeonato Brasileiro Série A,56%,44%,486,568,345,444,8,17,5,13,4,5,6,8,2,1,1.7,1.7,12,12,4,4,21,24,705,549,27,19,8,8,17,10,22,16,1,0,6,3,17,28,57,47
Sao-Paulo-Fluminense-May-13-2024-Serie-A,2024-05-13,São Paulo,Fluminense,Campeonato Brasileiro Série A,50%,50%,374,450,384,459,8,15,2,7,2,2,6,8,2,1,1.8,0.6,15,12,7,4,22,18,557,552,24,11,10,6,8,6,21,18,4,0,4,4,18,16,53,48
Vitoria-Atletico-Goianiense-June-1-2024-Serie-A,2024-06-01,Vitória,Atlético Goianiense,Campeonato Brasileiro Série A,34%,66%,252,339,577,653,3,12,5,12,3,5,3,3,0,2,0.5,1.2,7,9,3,4,14,15,418,764,8,15,7,13,16,12,18,18,0,1,4,4,20,19,57,58
Gremio-Red-Bull-Bragantino-June-1-2024-Serie-A,2024-06-01,Grêmio,Red Bull Bragantino,Campeonato Brasileiro Série A,45%,55%,313,438,427,526,1,9,3,13,2,3,1,1,0,2,0.8,1.4,16,19,6,0,18,3,549,673,26,39,10,11,15,13,6,28,0,1,8,3,37,17,74,71
Cuiaba-Internacional-June-1-2024-Serie-A,2024-06-01,Cuiabá,Internacional,Campeonato Brasileiro Série A,37%,63%,229,316,448,537,3,8,2,9,1,2,3,3,0,1,0.4,1.0,12,21,0,2,16,16,400,625,16,9,2,5,16,13,20,8,4,1,8,3,17,18,52,71
Fluminense-Juventude-June-1-2024-Serie-A,2024-06-01,Fluminense,Juventude,Campeonato Brasileiro Série A,62%,38%,539,604,294,374,3,16,4,12,3,4,3,3,1,1,2.3,1.3,13,19,5,3,21,12,717,484,10,29,8,13,9,8,10,15,1,3,8,9,17,14,56,38
Criciuma-Palmeiras-June-2-2024-Serie-A,2024-06-02,Criciúma,Palmeiras,Campeonato Brasileiro Série A,39%,61%,223,312,375,489,4,12,4,22,3,4,3,4,1,2,1.2,2.7,17,9,4,6,16,32,433,586,13,17,10,9,4,12,26,14,0,1,12,9,12,19,55,74
Atletico-Mineiro-Bahia-June-2-2024-Serie-A,2024-06-02,Atlético Mineiro,Bahia,Campeonato Brasileiro Série A,64%,36%,532,625,269,356,4,21,2,9,1,2,3,4,1,1,1.0,0.4,13,9,5,4,25,13,720,450,19,11,10,3,15,13,17,21,6,0,5,15,13,15,60,58
Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-June-2-2024-Serie-A,2024-06-02,Vasco da Gama,Flamengo,Campeonato Brasileiro Série A,27%,73%,175,255,630,693,2,2,18,30,12,18,1,2,1,6,0.1,3.8,18,6,1,8,12,18,343,796,19,8,7,6,12,15,24,14,1,1,5,2,11,20,53,36
Sao-Paulo-Cruzeiro-June-2-2024-Serie-A,2024-06-02,São Paulo,Cruzeiro,Campeonato Brasileiro Série A,55%,45%,543,614,425,494,4,11,3,10,3,3,2,4,2,0,0.6,0.6,18,11,4,2,17,9,696,580,16,7,10,8,5,6,10,16,0,1,9,8,9,19,67,37
Fortaleza-Athletico-Paranaense-June-2-2024-Serie-A,2024-06-02,Fortaleza,Athletico Paranaense,Campeonato Brasileiro Série A,52%,48%,361,465,332,428,4,11,2,15,2,2,3,4,1,0,1.3,0.7,12,17,2,4,14,17,585,555,24,19,5,13,15,21,23,20,0,2,11,7,19,19,87,73
Corinthians-Botafogo-RJ-June-1-2024-Serie-A,2024-06-01,Corinthians,Botafogo (RJ),Campeonato Brasileiro Série A,53%,47%,393,503,336,449,7,16,2,9,1,2,7,7,0,1,0.7,1.1,7,16,2,5,20,21,615,566,16,20,7,9,12,11,20,27,3,2,7,7,25,27,81,74
Cuiaba-Vitoria-June-5-2024-Serie-A,2024-06-05,Cuiabá,Vitória,Campeonato Brasileiro Série A,54%,46%,401,494,335,423,0,11,4,13,4,4,0,0,0,0,0.5,0.9,19,14,4,3,21,21,595,526,15,8,15,17,19,15,18,22,1,1,11,5,19,21,64,55
Juventude-Atletico-Goianiense-June-5-2024-Serie-A,2024-06-05,Juventude,Atlético Goianiense,Campeonato Brasileiro Série A,42%,58%,286,392,435,546,2,8,5,22,5,5,1,2,1,0,1.1,1.5,13,12,4,7,22,23,507,654,18,13,17,8,21,22,25,18,1,1,11,9,17,29,73,80
Criciuma-Cuiaba-June-9-2024-Serie-A,2024-06-09,Criciúma,Cuiabá,Campeonato Brasileiro Série A,61%,39%,465,565,266,356,8,22,7,13,2,7,6,8,2,5,1.4,1.6,10,13,6,2,34,16,659,475,15,22,10,7,18,7,12,28,5,0,5,9,21,17,57,68
Juventude-Vitoria-June-11-2024-Serie-A,2024-06-11,Juventude,Vitória,Campeonato Brasileiro Série A,60%,40%,464,572,297,384,2,12,4,18,3,4,1,2,1,1,0.7,0.5,16,8,5,4,28,19,673,495,19,19,8,6,22,14,13,20,1,1,9,11,31,19,72,66
Atletico-Goianiense-Corinthians-June-11-2024-Serie-A,2024-06-11,Atlético Goianiense,Corinthians,Campeonato Brasileiro Série A,73%,27%,484,578,136,219,6,21,3,7,1,3,6,6,2,2,3.1,0.4,12,13,3,4,32,13,687,344,12,13,8,13,10,18,11,42,1,0,3,12,24,12,67,67
Botafogo-RJ-Fluminense-June-11-2024-Serie-A,2024-06-11,Botafogo (RJ),Fluminense,Campeonato Brasileiro Série A,44%,56%,269,359,374,454,6,19,0,6,0,0,5,6,1,0,1.7,0.2,22,13,14,2,19,14,474,565,30,14,8,5,9,6,26,25,4,0,7,10,21,25,64,56
Red-Bull-Bragantino-Atletico-Mineiro-June-11-2024-Serie-A,2024-06-11,Red Bull Bragantino,Atlético Mineiro,Campeonato Brasileiro Série A,55%,45%,364,467,265,379,5,15,4,10,2,4,4,5,1,2,1.2,1.0,17,18,8,5,20,18,578,478,12,20,9,12,22,14,24,18,1,2,4,8,21,15,72,96
Cruzeiro-Cuiaba-June-13-2024-Serie-A,2024-06-13,Cruzeiro,Cuiabá,Campeonato Brasileiro Série A,51%,49%,404,485,381,468,6,12,4,15,4,4,4,6,2,1,0.9,1.6,9,12,6,4,23,27,613,592,18,16,13,5,7,11,30,25,0,1,12,8,20,25,50,67
Flamengo-Gremio-June-13-2024-Serie-A,2024-06-13,Flamengo,Grêmio,Campeonato Brasileiro Série A,42%,58%,352,411,501,575,6,16,5,15,4,5,4,6,2,1,1.0,1.0,9,10,4,6,13,15,548,669,22,17,5,6,16,8,29,10,0,0,6,9,14,19,51,63
Internacional-Sao-Paulo-June-13-2024-Serie-A,2024-06-13,Internacional,São Paulo,Campeonato Brasileiro Série A,52%,48%,355,451,337,423,0,7,4,9,4,4,0,0,0,0,0.3,1.1,15,18,5,3,28,9,532,510,19,12,4,7,13,15,7,26,1,3,4,12,16,21,50,88
Athletico-Paranaense-Criciuma-June-13-2024-Serie-A,2024-06-13,Athletico Paranaense,Criciúma,Campeonato Brasileiro Série A,57%,43%,427,528,314,405,7,23,4,12,3,4,4,7,3,1,2.6,1.4,9,12,5,3,25,8,636,526,21,23,8,8,15,16,9,31,2,3,7,13,17,24,72,58
Bahia-Fortaleza-June-13-2024-Serie-A,2024-06-13,Bahia,Fortaleza,Campeonato Brasileiro Série A,53%,47%,445,538,378,474,3,12,6,21,6,6,2,3,1,0,1.2,1.3,14,9,5,9,16,26,648,573,15,9,7,7,12,12,29,14,0,6,6,6,9,21,41,71
Palmeiras-Vasco-da-Gama-June-13-2024-Serie-A,2024-06-13,Palmeiras,Vasco da Gama,Campeonato Brasileiro Série A,57%,43%,366,457,236,339,6,28,2,9,2,2,4,6,2,0,2.3,0.2,10,14,10,6,29,26,594,454,13,16,6,9,27,21,30,36,1,1,9,18,24,12,64,77
