Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
89.0,Lionel Messi,Inter Miami,0.27,0.56,Saved,6,Left Foot,,Lionel Messi,Take-On,Lawson Sunderland,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
93.0,Pablo Ruíz,RSL,0.02,,Off Target,33,Left Foot,,Bode Davis,Pass (Live),Bode Davis,Take-On,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,ET,2
3.0,Jordan Morris,Seattle,0.26,0.10,Saved,12,Right Foot,,,,,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
3.0,Cristian Olivera,LAFC,0.03,0.07,Saved,26,Right Foot,,Cristian Olivera,Tackle,,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
4.0,Alex Roldan,Seattle,0.08,,Blocked,21,Right Foot,Deflected,Raúl Ruidíaz,Take-On,Léo Chú,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
4.0,Raúl Ruidíaz,Seattle,0.01,0.34,Saved,34,Right Foot,,Cristian Roldan,Pass (Live),Joshua Atencio,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
9.0,Eduard Atuesta,LAFC,0.05,,Off Target,28,Right Foot,,Cristian Olivera,Pass (Live),Ilie Sánchez,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
12.0,Mateusz Bogusz,LAFC,0.50,,Off Target,9,Right Foot,Volley,Ryan Hollingshead,Pass (Live),Ilie Sánchez,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
15.0,Raúl Ruidíaz,Seattle,0.04,0.11,Saved,26,Right Foot,"Free kick, Deflected",Léo Chú,Fouled,Raúl Ruidíaz,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
16.0,Timmy Tillman,LAFC,0.05,0.07,Saved,26,Right Foot,,Eduard Atuesta,Pass (Live),,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
17.0,Denis Bouanga,LAFC,0.19,,Blocked,14,Left Foot,,Denis Bouanga,Take-On,Ilie Sánchez,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
20.0,Mateusz Bogusz,LAFC,0.03,,Blocked,17,Right Foot,,Denis Bouanga,Pass (Live),Omar Campos,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
21.0,Denis Bouanga,LAFC,0.02,,Blocked,22,Right Foot,,Mateusz Bogusz,Shot,,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
21.0,Denis Bouanga,LAFC,0.03,,Off Target,20,Right Foot,,Mateusz Bogusz,Pass (Live),Denis Bouanga,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
25.0,Joshua Atencio,Seattle,0.05,,Blocked,19,Left Foot,,Jackson Ragen,Pass (Live),Nathan Cardoso,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
25.0,Raúl Ruidíaz,Seattle,0.03,0.03,Saved,26,Right Foot,Deflected,Obed Vargas,Pass (Live),Léo Chú,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
25.0,Denis Bouanga,LAFC,0.04,,Off Target,17,Right Foot,,Hugo Lloris,Pass (Live),,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
28.0,Cristian Olivera,LAFC,0.03,0.03,Saved,19,Right Foot,,Jesús David Murillo Largacha,Pass (Live),Eduard Atuesta,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
30.0,Ilie Sánchez,LAFC,0.03,,Blocked,7,Head,,Eduard Atuesta,Pass (Dead),Denis Bouanga,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
40.0,Léo Chú,Seattle,0.03,,Off Target,27,Right Foot,,Joshua Atencio,Pass (Live),Raúl Ruidíaz,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
41.0,Nouhou Tolo,Seattle,0.01,,Blocked,33,Left Foot,,Joshua Atencio,Pass (Live),Alex Roldan,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
43.0,Raúl Ruidíaz,Seattle,0.05,,Blocked,16,Right Foot,Volley,Cristian Roldan,Pass (Live),Joshua Atencio,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
43.0,Raúl Ruidíaz,Seattle,0.18,,Blocked,12,Right Foot,,Raúl Ruidíaz,Shot,,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
45.0,Timmy Tillman,LAFC,0.09,0.18,Goal,12,Right Foot,Volley,Omar Campos,Pass (Live),Cristian Olivera,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,1
47.0,Denis Bouanga,LAFC,0.03,0.09,Saved,13,Left Foot,,Eduard Atuesta,Pass (Live),Denis Bouanga,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,ET,1
46.0,Mateusz Bogusz,LAFC,0.02,,Blocked,22,Right Foot,,,,,,Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
47.0,Denis Bouanga,LAFC,0.03,,Woodwork,24,Right Foot,,Ryan Hollingshead,Pass (Live),Timmy Tillman,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
52.0,Joshua Atencio,Seattle,0.02,,Off Target,32,Left Foot,,Alex Roldan,Take-On,Cristian Roldan,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
55.0,Mateusz Bogusz,LAFC,0.04,0.58,Goal,19,Right Foot,,Denis Bouanga,Pass (Live),Hugo Lloris,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
68.0,Denis Bouanga,LAFC,0.27,,Blocked,15,Left Foot,,Mateusz Bogusz,Pass (Live),Ryan Hollingshead,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
73.0,Pedro De la Vega (pen),Seattle,0.79,0.97,Goal,13,Right Foot,,Jordan Morris,Fouled,Cristian Roldan,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
77.0,Cristian Roldan,Seattle,0.13,,Off Target,21,Right Foot,,Jackson Ragen,Pass (Live),Obed Vargas,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
84.0,Obed Vargas,Seattle,0.05,0.02,Saved,17,Right Foot,,Cristian Roldan,Pass (Live),Jackson Ragen,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,RT,2
91.0,Daniel Musovski,Seattle,0.02,0.09,Saved,24,Left Foot,,Jackson Ragen,Pass (Live),Pedro De la Vega,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,ET,2
93.0,Jordan Morris,Seattle,0.09,,Off Target,9,Head,,Cristian Roldan,Pass (Live),Cody Baker,Pass (Live),Los-Angeles-FC-Seattle-Sounders-FC-February-24-2024-Major-League-Soccer,ET,2
3.0,Cucho,Crew,0.02,,Blocked,32,Right Foot,,Jacen Russell-Rowe,Pass (Live),Cucho,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
8.0,Cucho,Crew,0.04,0.04,Saved,23,Left Foot,,Jacen Russell-Rowe,Pass (Live),Yaw Yeboah,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
11.0,Jacen Russell-Rowe,Crew,0.33,,Off Target,15,Left Foot,,Mohamed Farsi,Pass (Live),Cucho,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
15.0,Diego Rossi,Crew,0.03,,Blocked,19,Left Foot,,Yaw Yeboah,Pass (Live),Aidan Morris,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
24.0,Diego Rossi,Crew,0.12,,Blocked,12,Left Foot,,Yaw Yeboah,Pass (Live),Cucho,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
27.0,Cucho,Crew,0.16,0.19,Goal,8,Right Foot,Deflected,Yaw Yeboah,Pass (Live),Sean Zawadzki,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
30.0,Aidan Morris,Crew,0.03,,Blocked,27,Right Foot,,Yaw Yeboah,Pass (Live),Jacen Russell-Rowe,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
32.0,Bartosz Slisz,Atlanta Utd,0.01,,Off Target,40,Right Foot,,,,,,Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
38.0,Cucho,Crew,0.02,,Off Target,25,Right Foot,,Mohamed Farsi,Pass (Live),Aidan Morris,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
38.0,Jacen Russell-Rowe,Crew,0.09,,Woodwork,16,Right Foot,,Cucho,Pass (Live),Aidan Morris,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
42.0,Yaw Yeboah,Crew,0.02,,Blocked,16,Left Foot,,Aidan Morris,Pass (Live),Darlington Nagbe,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
42.0,Cucho,Crew,0.10,,Blocked,16,Right Foot,Volley,Mohamed Farsi,Pass (Live),Rudy Camacho,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
43.0,Jacen Russell-Rowe,Crew,0.04,,Off Target,10,Head,,Diego Rossi,Pass (Dead),Cucho,Shot,Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,1
46.0,Giorgos Giakoumakis,Atlanta Utd,0.03,,Off Target,27,Right Foot,,Thiago Almada,Pass (Live),Giorgos Giakoumakis,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
54.0,Cucho (pen),Crew,0.79,0.96,Saved,13,Right Foot,,Mohamed Farsi,Fouled,Patrick Schulte,Pass (Dead),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
57.0,Thiago Almada,Atlanta Utd,0.09,0.06,Saved,22,Left Foot,,Brooks Lennon,Pass (Live),Saba Lobzhanidze,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
59.0,Giorgos Giakoumakis,Atlanta Utd,0.01,,Off Target,17,Other,,Xande Silva,Pass (Live),Thiago Almada,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
71.0,Giorgos Giakoumakis,Atlanta Utd,0.21,0.25,Saved,10,Right Foot,,,,,,Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
90.0,Thiago Almada,Atlanta Utd,0.04,,Blocked,24,Right Foot,,Tyler Wolff,Pass (Live),Thiago Almada,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
90.0,Bartosz Slisz,Atlanta Utd,0.04,,Off Target,10,Right Foot,Volley,Thiago Almada,Pass (Dead),Thiago Almada,Shot,Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,RT,2
91.0,Cucho,Crew,0.02,,Off Target,21,Right Foot,,Maximilian Arfsten,Pass (Live),Alexandru Mățan,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,ET,2
94.0,Giorgos Giakoumakis,Atlanta Utd,0.07,,Off Target,12,Head,,Caleb Wiley,Pass (Live),Derrick Williams,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,ET,2
96.0,Diego Rossi,Crew,0.05,,Off Target,17,Right Foot,,Steven Moreira,Pass (Live),Sean Zawadzki,Pass (Live),Columbus-Crew-Atlanta-United-February-24-2024-Major-League-Soccer,ET,2
7.0,Lorenzo Insigne,Toronto FC,0.04,0.09,Saved,24,Right Foot,Free kick,Richie Laryea,Fouled,Prince Osei Owusu,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
15.0,Corey Baird,FC Cincinnati,0.04,,Blocked,13,Right Foot,,Luca Orellano,Pass (Live),Luciano Acosta,Pass (Dead),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
15.0,Kipp Keller,FC Cincinnati,0.01,,Blocked,16,Head,,Corey Baird,Shot,,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
15.0,Corey Baird,FC Cincinnati,0.07,0.19,Saved,8,Right Foot,Volley,Kipp Keller,Shot,,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
17.0,Miles Robinson,FC Cincinnati,0.01,,Blocked,16,Head,,Luciano Acosta,Pass (Dead),Corey Baird,Shot,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
22.0,Jonathan Osorio,Toronto FC,0.07,,Blocked,23,Left Foot,,Lorenzo Insigne,Pass (Live),Jonathan Osorio,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
26.0,Luciano Acosta,FC Cincinnati,0.03,,Off Target,23,Left Foot,Volley,Pavel Bucha,Pass (Live),Yuya Kubo,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
27.0,Federico Bernardeschi,Toronto FC,0.04,,Blocked,24,Left Foot,,Prince Osei Owusu,Pass (Live),Federico Bernardeschi,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
32.0,Corey Baird,FC Cincinnati,0.05,,Off Target,12,Head,,Luciano Acosta,Pass (Live),Kipp Keller,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
33.0,Luca Orellano,FC Cincinnati,0.02,,Off Target,35,Left Foot,,,,,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
35.0,Luca Orellano,FC Cincinnati,0.03,0.03,Saved,19,Left Foot,Volley,Luciano Acosta,Pass (Dead),Sergio Santos Gomes,Fouled,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
40.0,Miles Robinson,FC Cincinnati,0.07,,Blocked,9,Head,,Luciano Acosta,Pass (Dead),,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
40.0,Yuya Kubo,FC Cincinnati,0.01,0.02,Saved,36,Left Foot,,Obinna Nwobodo,Pass (Live),Yuya Kubo,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
45.0,Luciano Acosta,FC Cincinnati,0.04,,Off Target,28,Right Foot,Free kick,Corey Baird,Fouled,Luciano Acosta,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,1
48.0,Lorenzo Insigne,Toronto FC,0.14,,Blocked,15,Right Foot,,Federico Bernardeschi,Pass (Live),Alonso Coello,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,ET,1
50.0,Federico Bernardeschi,Toronto FC,0.03,,Blocked,22,Left Foot,,Alonso Coello,Pass (Live),Lorenzo Insigne,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,ET,1
48.0,Federico Bernardeschi,Toronto FC,0.07,0.04,Saved,15,Left Foot,,Jonathan Osorio,Pass (Live),,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
50.0,Federico Bernardeschi,Toronto FC,0.09,,Blocked,17,Left Foot,,Federico Bernardeschi,Take-On,Jonathan Osorio,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
50.0,Deybi Flores,Toronto FC,0.02,,Blocked,13,Head,,Lorenzo Insigne,Pass (Dead),Federico Bernardeschi,Shot,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
50.0,Federico Bernardeschi,Toronto FC,0.01,0.15,Saved,26,Left Foot,Volley,Deybi Flores,Shot,,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
51.0,Sergio Santos Gomes,FC Cincinnati,0.20,0.39,Saved,11,Left Foot,,Corey Baird,Pass (Live),Luciano Acosta,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
58.0,Luciano Acosta,FC Cincinnati,0.15,0.25,Saved,11,Right Foot,,Yuya Kubo,Pass (Live),Luciano Acosta,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
59.0,Pavel Bucha,FC Cincinnati,0.03,,Blocked,25,Left Foot,,Luciano Acosta,Shot,,,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
59.0,Kipp Keller,FC Cincinnati,0.08,,Blocked,7,Head,,Luca Orellano,Pass (Live),Pavel Bucha,Shot,FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
61.0,Aaron Boupendza,FC Cincinnati,0.03,,Off Target,12,Head,,Luciano Acosta,Pass (Live),Luca Orellano,Pass (Live),FC-Cincinnati-Toronto-FC-February-25-2024-Major-League-Soccer,RT,2
