game_id,date,home_team,away_team,league,home_Possession,away_Possession,home_Passing Accuracy,away_Passing Accuracy,home_Shots on Target,away_Shots on Target,home_Saves,away_Saves,home_Cards,away_Cards,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,2024-02-24,Austin FC,Minnesota United,Major League Soccer,52,48,77,72,22,45,80,50,,,14,13,4,16,15,28,574,538,21,20,4,14,18,14,38,18,1,2,5,6,28,20,91,79
Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,2024-03-02,Minnesota United,Columbus Crew,Major League Soccer,44,56,73,81,40,50,83,75,,,17,4,5,3,25,8,559,699,16,17,15,10,11,14,9,29,4,3,4,7,23,10,75,52
