Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
50.0,Bruno Henrique,Internacional,0.01,,Off Target,31,Right Foot,Volley,Fabricio Bustos,Pass (Live),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
52.0,Rafael Borré,Internacional,0.07,,Off Target,10,Head,,Fabricio Bustos,Pass (Live),Gabriel Mercado,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
57.0,Cauly Oliveira Souza,Bahia,0.02,0.08,Saved,27,Right Foot,,Everton Ribeiro,Pass (Live),Santiago Arias,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
58.0,Rafael Borré,Internacional,0.02,0.02,Saved,37,Right Foot,,Mauricio,Pass (Live),,,Internacional-Bahia-April-13-2024-Serie-A,RT,2
60.0,Rafael Borré,Internacional,0.45,,Off Target,6,Head,,Wanderson,Pass (Dead),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
62.0,Vitão,Internacional,0.06,,Off Target,11,Head,,Fernando,Pass (Live),Bruno Henrique,Pass (Dead),Internacional-Bahia-April-13-2024-Serie-A,RT,2
66.0,Mauricio,Internacional,0.06,,Off Target,13,Right Foot,Volley,Vitão,Pass (Live),Bruno Henrique,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Wanderson,Internacional,0.06,,Blocked,14,Right Foot,,Mauricio,Pass (Live),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Mauricio,Internacional,0.03,0.03,Saved,21,Left Foot,,Renê,Pass (Live),Fernando,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Renê,Internacional,0.32,0.37,Saved,6,Right Foot,,Mauricio,Shot,,,Internacional-Bahia-April-13-2024-Serie-A,RT,2
70.0,Biel,Bahia,0.14,0.54,Goal,11,Right Foot,Deflected,Jean Lucas,Pass (Live),Everton Ribeiro,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
72.0,Wesley,Internacional,0.14,0.12,Goal,12,Left Foot,Volley,Gabriel Mercado,Pass (Live),Fernando,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
75.0,Rafael Borré,Internacional,0.37,0.71,Saved,4,Right Foot,,Wesley,Pass (Live),Mauricio,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
78.0,Thaciano,Bahia,0.09,0.11,Saved,15,Left Foot,,Biel,Pass (Live),Jean Lucas,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
83.0,Fernando,Internacional,0.06,0.15,Goal,7,Head,,Bruno Henrique,Pass (Dead),Gabriel Mercado,Fouled,Internacional-Bahia-April-13-2024-Serie-A,RT,2
91.0,Luciano Juba,Bahia,0.03,,Blocked,27,Left Foot,,Carlos de Pena,Fouled,Santiago Arias,Pass (Dead),Internacional-Bahia-April-13-2024-Serie-A,ET,2
96.0,Everaldo Stum,Bahia,0.07,,Off Target,10,Right Foot,,Santiago Arias,Pass (Live),Jean Lucas,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,ET,2
9.0,Julimar,Ath Paranaense,0.03,,Off Target,31,Left Foot,,Thiago Heleno,Pass (Live),Pablo,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
19.0,Agustín Canobbio,Ath Paranaense,0.05,,Off Target,20,Left Foot,,Lucas Esquivel,Pass (Live),Tomás Cuello,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
23.0,Julimar,Ath Paranaense,0.02,,Blocked,11,Head,Deflected,Fernandinho,Pass (Dead),Tomás Cuello,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
23.0,Pablo,Ath Paranaense,0.24,0.91,Goal,4,Head,,Julimar,Shot,,,Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
27.0,Tomás Cuello,Ath Paranaense,0.02,,Blocked,21,Right Foot,,Agustín Canobbio,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
27.0,Kaique Rocha,Ath Paranaense,0.06,,Blocked,11,Head,,Tomás Cuello,Pass (Live),Agustín Canobbio,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
30.0,Fernandinho,Ath Paranaense,0.01,0.18,Saved,26,Right Foot,Volley,Pablo,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
31.0,Lucas Esquivel,Ath Paranaense,0.02,,Blocked,29,Left Foot,,Tomás Cuello,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
31.0,Erick,Ath Paranaense,0.02,,Blocked,14,Head,,Fernandinho,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
37.0,Agustín Canobbio,Ath Paranaense,0.14,0.27,Goal,11,Right Foot,,Fernandinho,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
39.0,Leonardo Godoy,Ath Paranaense,0.11,0.40,Goal,12,Right Foot,,Leonardo Godoy,Take-On,Agustín Canobbio,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
48.0,Julimar,Ath Paranaense,0.15,,Off Target,7,Head,,Lucas Esquivel,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,ET,1
49.0,Tomás Cuello,Ath Paranaense,0.04,,Off Target,27,Right Foot,,Pablo,Pass (Live),Julimar,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
56.0,Derik Lacerda,Cuiabá,0.31,,Off Target,9,Right Foot,,Rikelme,Pass (Live),Alan Empereur,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
57.0,Julimar,Ath Paranaense,0.51,0.63,Saved,13,Right Foot,,Agustín Canobbio,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
60.0,Agustín Canobbio,Ath Paranaense,0.03,0.14,Saved,14,Head,,Erick,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
66.0,Pablo,Ath Paranaense,0.08,0.04,Saved,18,Right Foot,,Agustín Canobbio,Pass (Live),Erick,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
68.0,Agustín Canobbio,Ath Paranaense,0.08,,Off Target,15,Right Foot,,Leonardo Godoy,Pass (Live),Pablo,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
70.0,Pablo,Ath Paranaense,0.04,,Off Target,26,Right Foot,,Tomás Cuello,Pass (Live),Fernandinho,Fouled,Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
75.0,Fernandinho,Ath Paranaense,0.09,0.17,Saved,16,Right Foot,,Agustín Canobbio,Pass (Live),Fernandinho,Interception,Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
82.0,Gonzalo Mastriani,Ath Paranaense,0.22,0.75,Goal,5,Head,,Bruno Zapelli,Pass (Dead),Lucas Esquivel,Fouled,Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,2
3.0,Pablo Vegetti,Vasco da Gama,0.05,,Blocked,15,Right Foot,Volley,Rossi,Pass (Live),Pablo Galdames Millán,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
3.0,Pablo Vegetti,Vasco da Gama,0.07,,Blocked,12,Right Foot,,Pablo Vegetti,Shot,,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
9.0,Mateus Cocão,Vasco da Gama,0.04,,Off Target,14,Left Foot,,Mateus Cocão,Take-On,Rossi,Fouled,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
9.0,David,Vasco da Gama,0.14,,Blocked,12,Right Foot,,Mateus Cocão,Shot,,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
9.0,Paulo Henrique,Vasco da Gama,0.01,,Blocked,29,Right Foot,,,,,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
20.0,Diego Costa,Grêmio,0.01,,Off Target,16,Left Foot,Volley,Franco Cristaldo,Pass (Dead),Franco Cristaldo,Fouled,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
24.0,David,Vasco da Gama,0.04,0.45,Goal,17,Right Foot,"Deflected, Volley",David,Take-On,Mateus Cocão,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
29.0,Yeferson Soteldo,Grêmio,0.02,,Blocked,20,Right Foot,,Franco Cristaldo,Pass (Live),Du Queiroz,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
37.0,Mateus Cocão,Vasco da Gama,0.07,0.48,Goal,13,Right Foot,Volley,Rossi,Pass (Dead),Rossi,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,1
50.0,Pablo Vegetti,Vasco da Gama,0.07,,Off Target,10,Head,,Rossi,Pass (Live),Pablo Vegetti,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,ET,1
47.0,João Pedro,Grêmio,0.25,,Off Target,10,Right Foot,,Cristian Pavón,Pass (Live),João Pedro,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
49.0,Pablo Vegetti,Vasco da Gama,0.07,0.30,Saved,10,Head,,Rossi,Pass (Live),Paulo Henrique,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
57.0,Paulo Henrique,Vasco da Gama,0.01,,Off Target,33,Left Foot,,Pablo Galdames Millán,Pass (Live),Paulo Henrique,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
60.0,Nathan Fernandes,Grêmio,0.05,,Off Target,12,Right Foot,,João Pedro,Pass (Live),Franco Cristaldo,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
67.0,João Pedro,Grêmio,0.07,,Off Target,8,Head,,Franco Cristaldo,Pass (Dead),Cuiabano,Fouled,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
68.0,Gustavo Martins Santos,Grêmio,0.69,0.73,Goal,3,Right Foot,,Franco Cristaldo,Pass (Dead),,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
71.0,Franco Cristaldo,Grêmio,0.06,,Blocked,28,Right Foot,Free kick,Mathías Villasanti,Pass (Live),Franco Cristaldo,Pass (Dead),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
72.0,Rayan Vitor,Vasco da Gama,0.03,,Off Target,13,Head,,David,Pass (Live),Léo Pelé,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
76.0,Rayan Vitor,Vasco da Gama,0.02,,Off Target,27,Left Foot,,Rayan Vitor,Tackle,,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
80.0,Rayan Vitor,Vasco da Gama,0.02,,Off Target,22,Left Foot,,João Pedro,Pass (Live),Juan Sforza,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
85.0,Nathan Fernandes,Grêmio,0.06,0.27,Saved,19,Left Foot,,Franco Cristaldo,Pass (Live),Mathías Villasanti,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
89.0,Pablo Vegetti,Vasco da Gama,0.04,,Off Target,13,Head,,Lucas Piton,Pass (Live),Adson,Pass (Live),Vasco-da-Gama-Gremio-April-14-2024-Serie-A,RT,2
95.0,Rayan Vitor,Vasco da Gama,0.23,,Blocked,11,Left Foot,,João Victor,Pass (Live),João Victor,Take-On,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,ET,2
100.0,Rodrigo Ely,Grêmio,0.02,,Off Target,9,Head,,Franco Cristaldo,Pass (Dead),,,Vasco-da-Gama-Gremio-April-14-2024-Serie-A,ET,2
2.0,Rodrigo Garro,Corinthians,0.06,0.19,Saved,25,Left Foot,Free kick,Yuri Alberto,Fouled,Ángel Romero,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
14.0,Igor Gomes,Atlético Mineiro,0.06,0.29,Saved,16,Left Foot,,Hulk,Pass (Live),Renzo Saravia,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
21.0,Ángel Romero,Corinthians,0.03,,Blocked,24,Left Foot,,Yuri Alberto,Pass (Live),Rodrigo Garro,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
24.0,Rodrigo Garro,Corinthians,0.04,,Off Target,31,Left Foot,Free kick,Yuri Alberto,Fouled,Félix Torres Caicedo,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
30.0,Félix Torres Caicedo,Corinthians,0.02,,Off Target,12,Head,,Fagner,Pass (Dead),,,Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
37.0,Mauricio Lemos,Atlético Mineiro,0.04,,Off Target,11,Head,,Guilherme Arana,Pass (Live),Hulk,Fouled,Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
39.0,Yuri Alberto,Corinthians,0.02,,Blocked,14,Head,,Rodrigo Garro,Pass (Live),Raniele,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
40.0,Igor Gomes,Atlético Mineiro,0.02,,Blocked,36,Right Foot,,Paulinho,Pass (Live),Federico Zaracho,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,1
47.0,Mauricio Lemos,Atlético Mineiro,0.04,,Blocked,34,Right Foot,Free kick,Hulk,Fouled,Paulinho,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,ET,1
50.0,Federico Zaracho,Atlético Mineiro,0.03,,Off Target,28,Right Foot,,Hulk,Pass (Dead),Federico Zaracho,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
58.0,Wesley Ribeiro,Corinthians,0.02,0.25,Saved,26,Right Foot,,Wesley Ribeiro,Take-On,Wesley Ribeiro,Take-On,Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
58.0,Wesley Ribeiro,Corinthians,0.02,,Blocked,17,Right Foot,,Wesley Ribeiro,Shot,,,Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
63.0,Raniele,Corinthians,0.02,,Blocked,36,Right Foot,,Fausto Vera,Pass (Live),Gustavo Henrique,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
64.0,Matheuzinho,Corinthians,0.01,,Off Target,24,Right Foot,Volley,Matheuzinho,Pass (Live),Rodrigo Garro,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
66.0,Renzo Saravia,Atlético Mineiro,0.02,,Blocked,34,Right Foot,,Federico Zaracho,Pass (Live),Federico Zaracho,Take-On,Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
77.0,Yuri Alberto,Corinthians,0.02,,Blocked,16,Head,,Igor Coronado,Pass (Live),Maycon,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
77.0,Ángel Romero,Corinthians,0.14,,Off Target,11,Head,,Igor Coronado,Pass (Live),Paulinho,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
80.0,Hugo,Corinthians,0.03,,Off Target,35,Left Foot,Free kick,Raniele,Fouled,Paulinho,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
87.0,Paulinho,Corinthians,0.03,,Off Target,17,Head,,Matheuzinho,Pass (Live),Félix Torres Caicedo,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
88.0,Hugo,Corinthians,0.01,,Off Target,31,Left Foot,Volley,Maycon,Pass (Live),Félix Torres Caicedo,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,RT,2
92.0,Gustavo Scarpa,Atlético Mineiro,0.03,0.03,Saved,36,Left Foot,Free kick,Eduardo Vargas,Fouled,Gustavo Scarpa,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,ET,2
97.0,Gustavo Scarpa,Atlético Mineiro,0.08,0.57,Saved,23,Left Foot,Free kick,Gustavo Scarpa,Fouled,Renzo Saravia,Pass (Live),Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,ET,2
2.0,Alix Vinicius,Atl Goianiense,0.05,,Off Target,10,Head,,Shaylon,Pass (Dead),Gabriel Baralhas,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
5.0,Shaylon,Atl Goianiense,0.05,0.04,Saved,13,Head,,Luiz Fernando,Pass (Live),Guilherme Romão,Pass (Dead),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
8.0,Everton Soares,Flamengo,0.02,,Off Target,26,Right Foot,,Giorgian De Arrascaeta,Pass (Live),Erick Pulgar,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
9.0,Guilherme Romão,Atl Goianiense,0.02,,Blocked,17,Left Foot,,Shaylon,Pass (Dead),Alejo Cruz,Fouled,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
10.0,Guilherme Romão,Atl Goianiense,0.18,,Off Target,8,Head,,Shaylon,Pass (Dead),Guilherme Romão,Shot,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
19.0,Everton Soares,Flamengo,0.08,,Blocked,17,Right Foot,,Giorgian De Arrascaeta,Pass (Live),Giorgian De Arrascaeta,Take-On,Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
26.0,Everton Soares,Flamengo,0.02,,Off Target,19,Right Foot,,Giorgian De Arrascaeta,Pass (Live),Nicolás De La Cruz,Pass (Live),Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,RT,1
